Country Name,Country Code,Yearly Average Credit Migration
Australia,AUS,-0.851351351
Austria,AUT,N/A
Belgium,BEL,-2
Canada,CAN,1.14893617
Chile,CHL,1.916666667
Colombia,COL,0.5
Costa rica,CRI,-2
Czech republic,CZE,N/A
Denmark,DNK,N/A
Estonia,EST,N/A
Finland,FIN,0
France,FRA,-0.172413793
Germany,DEU,-2.226415094
Greece,GRC,N/A
Hungary,HUN,0
Iceland,ISL,N/A
Ireland,IRL,3
Israel,ISR,N/A
Italy,ITA,4.625
Japan,JPN,0.107142857
Korea,KOR,0.212121212
Latvia,LVA,N/A
Lithuania,LTU,N/A
Luxembourg,LUX,-1.545454545
Mexico,MEX,2.142857143
Netherlands,NLD,-0.942307692
New zealand,NZL,N/A
Norway,NOR,0
Poland,POL,4
Portugal,PRT,N/A
Slovakia,SVK,6
Slovenia,SVN,N/A
Spain,ESP,N/A
Sweden,SWE,-0.333333333
Switzerland,CHE,N/A
Turkey,TUR,6.939393939
United kingdom,GBR,0.797297297
United states,USA,-0.02020202
